Location,Rural/Urban,School_Category ,School_Management,School_Type ,Total_No_of_Schools,Separate Room for Headmaster,Land Available,Electricity ,Functional Electricity,Solar Panel,Playground,Library or Reading Corner or Book Bank,Librarian,Newspaper,Kitchen Garden,Furniture,Boy's Toilet,Functional Boy's Toilet,Girl's Toilet,Functional Girl's Toilet,Toilet Facility,Functional Toilet Facility,Functional Urinal Boy's,Functional Urinal Girl's,Functional Urinal,Functional Toilet and Urinal,Drinking Water,Functional Drinking Water ,Water Purifier,Rain Water Harvesting,Water Tested,Handwash,Incinerator,"WASH Facility(Drinking Water, Toilet and Handwash)",Ramps,Hand-Rails,Medical Checkup,Complete Medical Checkup,Internet,Computer Available
Karnataka,Rural,SS (IX-X),Private Unaided (Recognized),Boys,3,1,3,3,3,2,2,3,2,2,1,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3,3,3,1,3,0,0,2,1,2,3
Karnataka,Urban,UPS (VI-VIII),Private Unaided (Recognized),Girls,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Karnataka,Rural,HSS (XI-XII),Private Unaided (Recognized),Co-Ed,782,672,391,753,750,75,664,746,181,670,120,736,779,778,778,778,780,779,585,555,589,589,782,624,305,231,278,741,214,740,297,195,270,177,289,335
Karnataka,Urban,HSS (XI-XII),Private Unaided (Recognized),Co-Ed,1718,1467,660,1673,1671,145,1463,1655,585,1510,216,1646,1698,1698,1712,1711,1715,1715,1239,1144,1261,1259,1717,1534,775,548,657,1679,504,1676,594,341,598,367,831,885
Karnataka,Rural,PS (I-V),Private Unaided (Recognized),Co-Ed,1995,1171,1072,1673,1671,381,1447,1598,300,1249,533,1599,1989,1988,1992,1991,1993,1992,1474,1441,1485,1485,1994,1830,1413,1051,1393,1510,931,1509,509,330,1444,770,746,959
Karnataka,Urban,PS (I-V),Private Unaided (Recognized),Co-Ed,1403,962,675,1247,1246,256,1011,1134,219,899,382,1210,1399,1398,1402,1401,1402,1401,1086,1048,1089,1089,1403,1321,1037,774,1016,1170,665,1169,312,195,1016,505,681,761
Karnataka,Rural,SS (IX-X),Private Unaided (Recognized),Co-Ed,892,687,626,799,799,231,715,804,192,675,322,803,892,891,892,891,892,891,705,655,710,710,892,834,696,530,660,754,498,754,286,201,692,425,539,641
Karnataka,Urban,SS (IX-X),Private Unaided (Recognized),Co-Ed,1231,979,690,1140,1140,270,987,1100,358,950,381,1087,1229,1229,1229,1229,1230,1230,1047,990,1051,1051,1231,1189,1036,774,941,1063,694,1063,333,222,975,539,876,942
Karnataka,Urban,HSS (IX-XII),Private Unaided (Recognized),Co-Ed,64,60,44,63,63,22,61,64,38,58,27,59,64,64,64,64,64,64,59,54,59,59,64,63,59,35,54,60,40,60,14,11,60,31,59,57
Karnataka,Rural,HSS (XI-XII),Private Unaided (Recognized),Girls,29,25,18,29,29,3,25,28,6,27,7,27,0,0,29,29,29,29,0,16,16,16,29,25,16,10,15,29,12,29,10,4,10,5,13,14
Karnataka,Urban,PS (I-V),Private Unaided (Recognized),Boys,3,2,1,2,2,0,2,2,1,2,0,2,3,3,0,0,3,3,3,0,3,3,3,2,2,1,3,2,0,2,0,0,2,0,2,2
Karnataka,Urban,SS (I-X),Private Unaided (Recognized),Boys,2,2,1,2,2,1,1,2,1,1,1,2,2,2,0,0,2,2,2,0,2,2,2,2,1,1,1,2,0,2,1,1,1,0,1,2
Karnataka,Urban,SS (I-X),Private Unaided (Recognized),Girls,9,8,7,9,9,5,9,9,3,9,6,8,0,0,9,9,9,9,0,4,4,4,9,9,7,6,8,9,7,9,2,1,7,4,9,9
Karnataka,Urban,UPS (I-VIII),Private Unaided (Recognized),Girls,18,16,7,17,17,6,17,17,5,16,12,15,0,0,18,18,18,18,0,9,9,9,18,18,16,15,16,17,10,17,5,3,15,5,17,17
Karnataka,Rural,HSS (I-XII),Private Unaided (Recognized),Co-Ed,145,137,120,144,144,64,136,136,100,135,86,138,145,145,145,145,145,145,136,118,136,136,145,142,137,117,134,141,106,141,55,48,129,65,134,136
Karnataka,Rural,SS (VI-X),Private Unaided (Recognized),Co-Ed,29,22,19,26,26,11,26,25,9,24,14,27,29,29,29,29,29,29,23,22,24,24,29,27,28,24,26,26,21,26,10,7,25,6,21,20
Karnataka,Rural,UPS (VI-VIII),Private Unaided (Recognized),Co-Ed,75,46,42,69,69,18,56,65,18,53,20,66,75,75,75,75,75,75,53,48,53,53,75,71,57,46,57,58,42,58,23,16,55,38,33,43
Karnataka,Urban,SS (IX-X),Private Unaided (Recognized),Girls,53,42,29,51,51,10,45,48,14,40,18,48,0,0,53,53,53,53,0,35,35,35,53,50,41,27,37,47,29,47,16,14,40,22,30,34
Karnataka,Rural,HSS (IX-XII),Private Unaided (Recognized),Girls,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
Karnataka,Urban,HSS (XI-XII),Private Unaided (Recognized),Boys,9,7,2,9,9,0,7,9,3,6,0,9,9,9,0,0,9,9,7,0,7,7,9,9,3,0,2,9,2,9,5,2,1,1,2,2
Karnataka,Urban,SS (VI-X),Private Unaided (Recognized),Boys,3,3,2,2,2,1,3,3,1,3,1,3,3,3,0,0,3,3,3,0,3,3,3,3,3,3,3,3,1,3,1,0,3,3,1,3
Karnataka,Urban,HSS (IX-XII),Private Unaided (Recognized),Girls,2,2,1,1,1,0,1,1,1,1,1,2,0,0,2,2,2,2,0,2,2,2,2,2,1,1,1,1,1,1,0,0,2,1,1,1
Karnataka,Rural,PS (I-V),Private Unaided (Recognized),Girls,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Karnataka,Rural,SS (I-X),Private Unaided (Recognized),Boys,2,0,0,2,2,1,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2
Karnataka,Rural,HSS (VI-XII),Private Unaided (Recognized),Boys,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
Karnataka,Rural,HSS (XI-XII),Private Unaided (Recognized),Boys,3,3,3,3,3,2,3,3,3,3,3,2,3,3,0,0,3,3,3,0,3,3,3,2,3,2,2,3,2,3,0,0,3,2,2,2
Karnataka,Urban,HSS (I-XII),Private Unaided (Recognized),Girls,5,3,1,5,5,2,4,4,3,4,0,5,0,0,5,5,5,5,0,3,3,3,5,5,5,3,3,5,3,5,1,1,5,2,5,4
Karnataka,Urban,UPS (I-VIII),Railway School,Co-Ed,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0
Karnataka,Urban,HSS (VI-XII),Sainik School,Boys,3,3,3,3,3,2,3,3,2,3,2,3,3,3,0,0,3,3,2,0,2,2,3,2,2,2,2,3,1,3,1,1,2,1,2,2
Karnataka,Rural,HSS (VI-XII),Sainik School,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Karnataka,Urban,SS (I-X),Sainik School,Co-Ed,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
Karnataka,Urban,SS (IX-X),Sainik School,Co-Ed,2,2,0,2,2,0,1,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,0,1,0,1,2
Karnataka,Urban,UPS (I-VIII),Sainik School,Co-Ed,2,1,0,2,2,0,1,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,1,0,1,2
Karnataka,Rural,PS (I-V),Social welfare Department,Co-Ed,18,9,8,18,18,10,10,13,0,10,7,14,18,18,18,18,18,18,14,14,14,14,18,18,17,9,13,16,6,16,3,3,17,11,6,7
Karnataka,Urban,SS (VI-X),Social welfare Department,Girls,15,9,7,15,15,8,13,14,0,13,6,13,0,0,15,15,15,15,0,6,6,6,15,15,14,6,10,13,10,13,4,0,14,8,12,13
Karnataka,Rural,SS (VI-X),Social welfare Department,Co-Ed,185,129,95,182,182,98,151,160,26,148,102,154,185,185,185,185,185,185,131,113,135,135,184,179,159,77,141,164,102,163,60,44,169,115,115,159
Karnataka,Urban,PS (I-V),Social welfare Department,Co-Ed,6,5,4,6,6,5,5,2,1,5,3,5,6,6,6,6,6,6,4,3,4,4,6,6,6,5,5,5,2,5,2,1,5,3,2,3
Karnataka,Urban,SS (I-X),Social welfare Department,Boys,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Karnataka,Rural,UPS (VI-VIII),Social welfare Department,Co-Ed,17,5,3,17,17,2,11,12,2,9,3,12,17,17,17,17,17,17,12,12,13,13,17,17,13,6,16,13,5,13,5,3,15,6,13,15
Karnataka,Urban,UPS (VI-VIII),Social welfare Department,Co-Ed,19,6,1,18,18,7,11,9,0,11,7,18,19,19,19,19,19,19,9,10,10,10,19,19,11,8,11,14,7,14,3,1,17,7,6,10
Karnataka,Rural,SS (VI-X),Social welfare Department,Girls,39,29,24,36,36,19,32,36,6,33,20,33,0,0,39,39,39,39,0,22,22,22,39,37,34,16,33,33,20,33,17,14,36,28,24,34
Karnataka,Rural,SS (I-X),Social welfare Department,Co-Ed,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0
Karnataka,Urban,HSS (XI-XII),Social welfare Department,Girls,3,3,1,3,3,1,3,3,0,3,0,3,0,0,3,3,3,3,0,2,2,2,3,3,0,2,1,3,2,3,1,0,2,2,2,2
Karnataka,Urban,UPS (I-VIII),Social welfare Department,Co-Ed,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1
Karnataka,Rural,SS (VI-X),Social welfare Department,Boys,4,3,2,4,4,2,4,3,1,4,2,4,4,4,0,0,4,4,3,0,3,3,4,4,3,3,3,4,1,4,2,0,4,1,2,4
Karnataka,Urban,UPS (VI-VIII),Social welfare Department,Girls,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Karnataka,Rural,UPS (I-VIII),Social welfare Department,Co-Ed,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
Karnataka,Urban,HSS (XI-XII),Social welfare Department,Co-Ed,3,3,2,3,3,2,1,3,0,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,2,3,1,3,2,1,2,1,2,2
Karnataka,Urban,SS (VI-X),Social welfare Department,Co-Ed,47,21,15,41,41,14,29,29,3,26,14,40,46,46,47,47,47,47,20,23,23,23,47,44,28,12,33,33,17,33,12,10,40,22,20,26
Karnataka,Rural,HSS (VI-XII),Social welfare Department,Girls,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Karnataka,Rural,HSS (VI-XII),Social welfare Department,Co-Ed,16,15,13,15,15,11,15,16,3,15,8,16,16,16,16,16,16,16,13,11,13,13,16,15,14,8,13,15,11,15,7,6,16,12,10,15
Karnataka,Rural,UPS (VI-VIII),Social welfare Department,Girls,5,2,3,5,5,1,4,4,2,4,2,4,0,0,5,5,5,5,0,3,3,3,5,5,4,3,5,4,4,4,1,1,5,2,3,5
Karnataka,Rural,HSS (XI-XII),Social welfare Department,Co-Ed,5,5,2,5,5,2,5,5,0,5,1,4,3,3,5,5,5,5,2,3,3,3,5,4,3,0,2,5,2,5,1,0,2,2,1,2
Karnataka,Urban,PS (I-V),Tribal Welfare Department,Co-Ed,27,19,10,26,26,16,23,24,3,21,15,22,27,27,27,27,27,27,15,15,15,15,27,26,26,13,18,24,15,24,11,6,24,16,11,14
Karnataka,Urban,SS (VI-X),Tribal Welfare Department,Girls,18,12,9,16,16,7,12,15,2,12,8,14,0,0,18,18,18,18,0,12,12,12,18,16,14,11,15,14,8,14,5,3,14,8,15,15
Karnataka,Urban,UPS (VI-VIII),Tribal Welfare Department,Girls,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0
Karnataka,Urban,SS (I-X),Tribal Welfare Department,Girls,2,2,2,2,2,0,1,1,0,1,1,2,0,0,2,2,2,2,0,0,0,0,2,2,1,1,1,1,0,1,0,0,2,2,1,0
Karnataka,Rural,PS (I-V),Tribal Welfare Department,Girls,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Karnataka,Urban,HSS (XI-XII),Tribal Welfare Department,Girls,2,2,2,2,2,1,2,2,0,2,1,1,0,0,2,2,2,2,0,2,2,2,2,1,2,2,2,2,1,2,0,0,1,1,2,2
Karnataka,Rural,UPS (I-VIII),Tribal Welfare Department,Co-Ed,36,25,26,35,35,18,29,29,3,28,28,36,36,36,36,36,36,36,20,16,20,20,36,35,27,14,31,34,20,34,17,10,35,26,6,26
Karnataka,Urban,PS (I-V),Tribal Welfare Department,Boys,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Karnataka,Rural,SS (VI-X),Tribal Welfare Department,Girls,98,77,63,95,95,51,88,89,17,86,59,73,0,0,98,98,98,98,0,69,69,69,98,92,83,49,77,88,55,88,34,28,86,60,70,83
Karnataka,Rural,SS (VI-X),Tribal Welfare Department,Co-Ed,321,217,179,295,295,151,253,257,49,247,155,251,319,319,321,321,321,321,233,208,237,237,321,299,280,157,256,268,156,268,97,69,282,173,212,267
Karnataka,Urban,SS (VI-X),Tribal Welfare Department,Co-Ed,100,47,32,82,82,30,69,71,13,64,35,88,99,99,100,100,100,100,65,65,67,67,100,92,76,47,75,76,42,76,23,15,85,51,46,71
Karnataka,Rural,HSS (VI-XII),Tribal Welfare Department,Co-Ed,33,29,26,32,32,27,31,30,9,30,26,28,33,33,33,33,33,33,26,25,26,26,33,32,30,20,29,31,23,31,15,10,32,15,22,27
Karnataka,Urban,HSS (VI-XII),Tribal Welfare Department,Co-Ed,5,4,2,5,5,4,4,5,1,4,4,3,5,5,5,5,5,5,4,4,4,4,5,5,5,3,3,4,4,4,1,0,4,2,3,4
Karnataka,Urban,HSS (XI-XII),Tribal Welfare Department,Co-Ed,13,8,5,11,11,4,9,9,0,9,3,12,13,13,13,13,13,13,9,8,9,9,13,12,8,7,6,10,2,10,2,1,6,5,7,8
Karnataka,Rural,PS (I-V),Tribal Welfare Department,Co-Ed,77,43,47,72,72,46,60,57,10,49,42,66,77,77,77,77,77,77,33,31,34,34,76,73,67,46,52,67,40,66,34,21,65,37,13,42
Karnataka,Rural,UPS (VI-VIII),Tribal Welfare Department,Co-Ed,26,13,6,24,24,5,19,16,5,19,8,13,26,26,26,26,26,26,15,15,16,16,26,26,19,9,19,21,9,21,2,0,23,10,13,20
Karnataka,Rural,SS (VI-X),Tribal Welfare Department,Boys,2,2,2,2,2,0,2,2,1,2,1,2,2,2,0,0,2,1,2,0,2,1,2,2,2,2,2,2,2,1,0,0,2,2,2,2
Karnataka,Urban,UPS (VI-VIII),Tribal Welfare Department,Co-Ed,24,6,5,13,13,1,9,12,2,6,6,21,24,24,24,24,24,24,19,19,19,19,24,22,14,13,16,9,8,9,3,3,15,4,8,13
Karnataka,Urban,SS (I-X),Tribal Welfare Department,Boys,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1
Karnataka,Rural,UPS (VI-VIII),Tribal Welfare Department,Girls,9,6,1,7,7,2,5,5,0,5,1,3,0,0,9,9,9,9,0,5,5,5,9,9,5,0,6,6,0,6,0,0,7,2,6,8
Karnataka,Urban,UPS (I-VIII),Tribal Welfare Department,Boys,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1
Karnataka,Urban,SS (I-X),Tribal Welfare Department,Co-Ed,3,3,1,2,2,1,2,3,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,2,1,0,3,3,1,2
Karnataka,Urban,HSS (VI-XII),Tribal Welfare Department,Girls,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1
Karnataka,Rural,HSS (XI-XII),Tribal Welfare Department,Girls,3,1,1,2,2,2,2,3,0,2,1,3,0,0,3,3,3,3,0,1,1,1,3,1,3,3,3,3,3,3,1,1,2,2,2,1
Karnataka,Rural,HSS (XI-XII),Tribal Welfare Department,Co-Ed,14,13,6,14,14,4,12,14,2,13,1,13,14,14,14,14,14,14,14,9,14,14,14,9,6,2,4,14,3,14,9,8,6,4,7,8
Karnataka,Rural,SS (I-X),Tribal Welfare Department,Co-Ed,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Karnataka,Urban,SS (VI-X),Tribal Welfare Department,Boys,2,2,2,2,2,1,2,2,0,2,2,1,2,2,0,0,2,2,2,0,2,2,2,2,2,0,1,2,0,2,0,0,2,2,1,2
Karnataka,Rural,HSS (VI-XII),Tribal Welfare Department,Girls,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Karnataka,Urban,UPS (I-VIII),Tribal Welfare Department,Co-Ed,2,2,1,2,2,1,2,2,0,2,1,2,2,2,2,2,2,2,0,0,0,0,2,2,2,1,1,2,1,2,2,1,2,2,2,2
Karnataka,Rural,SS (IX-X),Tribal Welfare Department,Co-Ed,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Karnataka,Rural,UPS (I-VIII),Unrecognized,Co-Ed,2,2,1,2,2,0,2,2,0,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,0,1,2,1,2,0,0,1,1,0,1
Karnataka,Urban,PS (I-V),Unrecognized,Co-Ed,3,2,1,3,3,2,2,3,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,2,0,0,1,1,2,0
Karnataka,Urban,SS (I-X),Unrecognized,Co-Ed,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1
Total,,,,,77166,35589,41469,75465,75376,13853,60029,71657,10644,52180,28514,65838,74797,74474,76333,76091,77038,76814,54601,53351,57558,57483,77036,73107,48787,35086,47264,63202,31928,62928,37936,30465,71749,44010,19020,37323
